,origin,destination,aircraft_number,distances,doc,demand,revenue,active_arcs,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
0,CD0,CD0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1,CD0,CD1,0.0,355,23632.0,451.0,49560.0,0,0.776161616161616,70.0,1108.96132885325,160.14795177533915,9.511634721386983,3.1238347291640847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CD0,CD2,0.0,243,10708.0,294.0,28320.0,0,0.6696969696969697,70.0,776.2527726543248,148.00380811325505,11.019955633510117,3.1944558545445463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,CD0,CD3,0.0,198,9524.0,252.0,28320.0,0,0.6321212121212121,70.0,653.3059280244873,141.8925065609053,12.027685196392978,3.299524889012562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,CD0,CD4,0.0,768,30920.0,313.0,35400.0,0,0.7886868686868687,70.0,2262.98870157712,214.36823499303037,8.053315830712162,2.9465998718452084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,CD0,CD5,0.0,591,24825.0,298.0,35400.0,0,0.7824242424242422,70.0,1756.9561104495172,191.3526392924738,8.40116290607466,2.9728529787639886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CD0,CD6,0.0,517,13338.0,192.0,21240.0,0,0.7949494949494949,70.0,1560.4434909377255,180.67619485909515,8.601111072062565,3.0182659399182312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,CD0,CD7,0.0,589,14853.0,221.0,21240.0,0,0.7824242424242422,70.0,1751.4210268222832,191.0850223073243,8.406390419021363,2.9735501304283245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CD0,CD8,0.0,336,16235.0,324.0,35400.0,0,0.7886868686868687,70.0,1068.9769960740623,157.0062881758278,9.665401967450784,3.1814791549823283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CD0,CD9,43.0,154,6261.0,188.0,21240.0,1,0.5632323232323231,70.0,545.3031994455636,137.1576436486181,13.55736121018034,3.5409298665296336,24.218989898989893,23448.037576159233,2.818138794502882,6622.0,3010.0,269223.0,5897.778676890578
10,CD1,CD0,8.0,355,23625.0,451.0,49560.0,1,0.7886868686868687,70.0,1122.5028325706091,159.54674323659847,9.509844408350682,3.161979810058054,6.309494949494949,8980.022660564873,0.5871406406033334,2840.0,560.0,189000.0,1276.3739458927878
11,CD1,CD1,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
12,CD1,CD2,47.0,188,11645.0,342.0,35400.0,1,0.6133333333333333,70.0,630.2181196670149,140.9234830874277,12.391906858684566,3.352224040781994,28.826666666666664,29620.2516243497,3.253689227932049,8836.0,3290.0,547315.0,6623.403705109103
13,CD1,CD3,0.0,200,16618.0,469.0,49560.0,0,0.6446464646464646,70.0,681.0547411148739,142.17131269596587,11.870500836034607,3.4052737055743694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,CD1,CD4,0.0,672,33168.0,398.0,42480.0,0,0.7824242424242422,70.0,1986.0176597210645,202.2059575440481,8.226435096220223,2.955383422203965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CD1,CD5,0.0,620,15462.0,215.0,21240.0,0,0.7949494949494949,70.0,1851.4740233420728,194.28793857273644,8.313505737824277,2.9862484247452787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,CD1,CD6,0.0,781,25024.0,254.0,28320.0,0,0.801212121212121,70.0,2314.2013549366948,214.82599067526962,8.010963493438211,2.963125934618047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,CD1,CD7,0.0,243,21456.0,505.0,56640.0,0,0.6696969696969697,70.0,779.4299327762266,148.01793998419421,11.03817639421742,3.207530587556488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,CD1,CD8,0.0,690,16866.0,227.0,21240.0,0,0.801212121212121,70.0,2053.2535743671997,202.8404990322354,8.149167594980229,2.9757298179234777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,CD1,CD9,0.0,427,19260.0,322.0,35400.0,0,0.7886868686868687,70.0,1315.502938308775,169.10497374666434,9.021936315617225,3.0808031342125877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,CD2,CD0,0.0,243,10688.0,294.0,28320.0,0,0.6759595959595959,70.0,776.8228178914786,147.7483331465008,10.997615395050623,3.196801719718019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,CD2,CD1,11.0,188,11585.0,342.0,35400.0,1,0.6258585858585858,70.0,628.2930414168981,140.4743875088508,12.32588884684363,3.3419842628558407,6.884444444444443,6911.223455585879,0.7638349614161591,2068.0,770.0,127435.0,1545.218262597359
22,CD2,CD2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
23,CD2,CD3,35.0,215,12415.0,334.0,35400.0,1,0.6759595959595959,70.0,708.6617528303002,143.45507140113594,11.55273287197068,3.2961011759548846,23.658585858585855,24803.16134906051,2.4642159146937406,7525.0,2450.0,434525.0,5020.927499039758
