,pax_number
0,0.0
1,140.0
2,700.0
3,700.0
4,70.0
5,280.0
6,0.0
7,700.0
8,0.0
9,0.0
10,0.0
11,0.0
12,700.0
13,420.0
14,700.0
15,700.0
16,209.0
17,140.0
18,0.0
19,608.0
20,700.0
21,0.0
22,0.0
23,0.0
24,70.0
25,700.0
26,700.0
27,700.0
28,685.0
29,0.0
30,0.0
31,560.0
32,0.0
33,0.0
34,692.0
35,0.0
36,0.0
37,0.0
38,0.0
39,678.0
40,0.0
41,210.0
42,700.0
43,140.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,700.0
51,0.0
52,0.0
53,0.0
54,279.0
55,0.0
56,70.0
57,0.0
58,0.0
59,55.0
60,700.0
61,62.0
62,686.0
63,0.0
64,671.0
65,118.0
66,0.0
67,51.0
68,0.0
69,700.0
70,696.0
71,614.0
72,0.0
73,0.0
74,0.0
75,700.0
76,0.0
77,0.0
78,700.0
79,700.0
80,0.0
81,630.0
82,0.0
83,0.0
84,140.0
85,350.0
86,0.0
87,420.0
88,0.0
89,700.0
90,0.0
91,420.0
92,689.0
93,0.0
94,0.0
95,70.0
96,0.0
97,137.0
98,700.0
99,0.0
