,index,aircraft_number,distances,doc,demand,active_arcs,distances01,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
0,0,1,354,5218,451.0,1,354,0.8137373737373736,128.0,1780.0743322851638,158.80062323264903,14.741552134656567,5.028458565777298,0.8137373737373736,1780.0743322851638,0.042950939468391146,354,128.0,5218,158.80062323264903
1,1,9,242,4064,294.0,1,242,0.7511111111111111,128.0,1233.9295760125158,145.51537139655562,16.796998340275454,5.098882545506264,6.76,11105.366184112641,0.38121944523221524,2178,1152.0,36576,1309.6383425690005
2,2,0,198,3625,252.0,0,198,0.6634343434343433,128.0,1049.2689693192333,141.76558751929346,18.310695305228343,5.299338228885016,0.0,0.0,0.0,0,0.0,0,0.0
3,3,0,768,9763,313.0,0,768,0.801212121212121,128.0,3808.157571862706,213.40566085519472,12.71263663147305,4.958538505029565,0.0,0.0,0.0,0,0.0,0,0.0
4,4,0,591,7779,298.0,0,591,0.82,128.0,2927.581545321332,188.98851291071952,13.16245619396607,4.9536066756706125,0.0,0.0,0.0,0,0.0,0,0.0
5,5,0,517,6993,192.0,0,517,0.8074747474747475,128.0,2566.6978442531376,180.08929987292547,13.527943913245176,4.96459931190162,0.0,0.0,0.0,0,0.0,0,0.0
6,6,0,587,7746,221.0,0,587,0.8137373737373736,128.0,2901.6863343963028,188.92288230549715,13.197244183905251,4.943247588409374,0.0,0.0,0.0,0,0.0,0,0.0
7,7,9,335,5036,324.0,1,335,0.801212121212121,128.0,1689.348459926247,156.81669195564405,15.035261814009033,5.042831223660439,7.210909090909089,15204.136139336222,0.38545671847632895,3015,1152.0,45324,1411.3502276007964
8,8,6,154,3101,188.0,1,154,0.6258585858585858,128.0,813.3330452108587,135.08435722497015,20.138996977225275,5.281383410460122,3.755151515151515,4879.998271265153,0.2453641434745191,924,768.0,18606,810.5061433498208
9,9,10,187,3466,342.0,1,354,0.801212121212121,128.0,1783.0831018321471,159.30844589164045,14.81444330567529,5.036957914780077,8.01212121212121,17830.83101832147,0.4287846417065878,1870,1280.0,34660,1593.0844589164044
10,10,3,200,3617,469.0,1,187,0.6509090909090909,128.0,967.7865711970987,139.87203162669704,18.536306520591967,5.175329257738496,1.9527272727272726,2903.359713591296,0.12519610370010983,600,384.0,10851,419.6160948800911
11,11,0,673,8665,398.0,0,200,0.6759595959595959,128.0,1039.1185147125107,141.40487299869886,18.086543910266197,5.195592573562553,0.0,0.0,0.0,0,0.0,0,0.0
12,12,0,620,8134,215.0,0,673,0.82,128.0,3324.444662698738,199.22721059595256,12.875338081480875,4.939739469091736,0.0,0.0,0.0,0,0.0,0,0.0
13,13,0,780,9876,254.0,0,620,0.8074747474747475,128.0,3074.8673383620994,193.41599320942464,13.11981332755361,4.959463448971128,0.0,0.0,0.0,0,0.0,0,0.0
14,14,8,243,4059,505.0,1,780,0.8137373737373736,128.0,3855.7603465951297,213.39481498791923,12.661887689481922,4.943282495634782,6.509898989898989,30846.082772761038,0.34952810351216546,1944,1024.0,32472,1707.1585199033539
15,15,0,688,8863,227.0,0,243,0.7511111111111111,128.0,1273.0875819596458,145.8411651710744,16.704856961816283,5.239043547159036,0.0,0.0,0.0,0,0.0,0,0.0
16,16,1,426,6019,322.0,1,688,0.8074747474747475,128.0,3393.4268131914773,202.04224596084086,12.88327829835396,4.932306414522496,0.8074747474747475,3393.4268131914773,0.043788240495784926,426,128.0,6019,202.04224596084086
17,17,10,215,3765,334.0,1,426,0.801212121212121,128.0,2129.7620995593397,168.61897140666102,14.129764506805703,4.999441548261361,8.01212121212121,21297.620995593395,0.43200228944195446,2150,1280.0,37650,1686.1897140666101
18,18,8,575,7594,300.0,1,242,0.7698989898989899,128.0,1272.8259839787015,145.6894724954783,16.697753510974152,5.259611504044221,6.159191919191919,10182.607871829612,0.32850642190883433,4600,1024.0,60752,1165.5157799638264
19,19,4,464,6390,374.0,1,187,0.6446464646464646,128.0,956.3158944408847,139.77989918460358,18.580761519009094,5.113988740325587,2.5785858585858583,3825.2635777635387,0.16893038326420978,1856,512.0,25560,559.1195967384143
20,20,10,594,7819,354.0,1,215,0.7010101010101009,128.0,1111.5084923589184,143.10618914102383,17.51471388355439,5.169806941204271,7.010101010101009,11115.084923589184,0.41776612150956516,5940,1280.0,78190,1431.0618914102383
21,21,0,424,5962,204.0,0,575,0.8137373737373736,128.0,2838.1131005645952,187.03427547778483,13.20789786677655,4.935848870547122,0.0,0.0,0.0,0,0.0,0,0.0
22,22,0,559,7435,255.0,0,464,0.8137373737373736,128.0,2298.078285326824,172.9762409675834,13.773637128284077,4.952754925273327,0.0,0.0,0.0,0,0.0,0,0.0
23,23,0,257,4215,192.0,0,594,0.8074747474747475,128.0,2920.8458756785694,190.14617296778076,13.164865002021147,4.91724894895382,0.0,0.0,0.0,0,0.0,0,0.0
24,24,0,789,10005,307.0,0,424,0.8137373737373736,128.0,2109.2800987554274,167.8216789867588,14.062925472526683,4.974717214045819,0.0,0.0,0.0,0,0.0,0,0.0
25,25,0,670,8635,374.0,0,559,0.8074747474747475,128.0,2751.5331581597766,185.6004212628614,13.301158235136517,4.922241785616774,0.0,0.0,0.0,0,0.0,0,0.0
26,26,0,700,8997,291.0,0,257,0.801212121212121,128.0,1330.0890876511485,146.56171824237015,16.4044860349627,5.175443920821589,0.0,0.0,0.0,0,0.0,0,0.0
27,27,6,405,5759,327.0,1,198,0.6759595959595959,128.0,1031.393712894676,141.09481330963268,18.164952817975685,5.2090591560337165,4.055757575757575,6188.362277368055,0.24877085823973977,2430,768.0,34554,846.5688798577961
28,28,4,518,7016,255.0,1,200,0.6634343434343433,128.0,1031.5206471055149,141.38981889908666,18.112049463685818,5.157603235527574,2.653737373737373,4126.082588422059,0.16750184891329375,2072,512.0,28064,565.5592755963467
29,29,10,326,4946,256.0,1,215,0.6884848484848485,128.0,1094.1085484218254,143.43834367631294,17.43956634893678,5.088876969403839,6.884848484848485,10941.085484218254,0.4244099843178472,3260,1280.0,49460,1434.3834367631293
30,30,10,261,4200,697.0,1,789,0.801212121212121,128.0,3913.219499839506,216.26953501236827,12.681484361538375,4.959720532115977,8.01212121212121,39132.19499839506,0.4354620750896844,2610,1280.0,42000,2162.6953501236826
31,31,0,718,9196,340.0,0,670,0.82,128.0,3312.002571077108,198.85258134263992,12.888158283255839,4.943287419518072,0.0,0.0,0.0,0,0.0,0,0.0
32,32,0,785,9967,150.0,0,700,0.8074747474747475,128.0,3450.3502839651956,203.66059784655437,12.853827732147952,4.929071834235994,0.0,0.0,0.0,0,0.0,0,0.0
33,33,0,975,12083,150.0,0,405,0.8137373737373736,128.0,2052.007337622513,166.09819857188768,14.22179616330335,5.066684784253119,0.0,0.0,0.0,0,0.0,0,0.0
34,34,0,670,8656,183.0,0,518,0.8074747474747475,128.0,2582.3467272233984,180.20008507297712,13.545074462995913,4.9852253421301125,0.0,0.0,0.0,0,0.0,0,0.0
35,35,4,457,6357,384.0,1,326,0.801212121212121,128.0,1654.6765642137038,155.70700394595426,15.173772792266499,5.075694982250625,3.204848484848484,6618.706256854815,0.17020488444106377,1828,512.0,25428,622.828015783817
36,36,0,802,10153,164.0,0,768,0.8137373737373736,128.0,3764.074762255301,212.08722973106663,12.648614726482062,4.901139013353256,0.0,0.0,0.0,0,0.0,0,0.0
37,37,0,740,9445,175.0,0,673,0.8074747474747475,128.0,3314.33101523424,200.0890115144127,12.913028880809287,4.924711761120713,0.0,0.0,0.0,0,0.0,0,0.0
38,38,0,462,6411,171.0,0,575,0.8074747474747475,128.0,2822.8354035301263,187.46675282137025,13.2097869703917,4.909278962661089,0.0,0.0,0.0,0,0.0,0,0.0
39,39,0,1018,12500,55.0,0,789,0.8137373737373736,128.0,3896.2039518402125,214.5360643257097,12.637918270378258,4.938154565069978,0.0,0.0,0.0,0,0.0,0,0.0
40,40,0,421,5955,144.0,0,261,0.801212121212121,128.0,1345.7601331449052,147.24183775861871,16.094530771600006,5.156169092509216,0.0,0.0,0.0,0,0.0,0,0.0
41,41,0,375,5457,99.0,0,718,0.8074747474747475,128.0,3541.5138434260475,205.8751939500937,12.807865055817109,4.932470534019565,0.0,0.0,0.0,0,0.0,0,0.0
42,42,0,919,11444,63.0,0,785,0.801212121212121,128.0,3865.187277393646,215.2771582294825,12.697564338939866,4.923805448909103,0.0,0.0,0.0,0,0.0,0,0.0
43,43,0,668,8633,78.0,0,975,0.8137373737373736,128.0,4838.45312075423,238.5931371661216,12.393455819337058,4.96251602128639,0.0,0.0,0.0,0,0.0,0,0.0
44,44,0,326,4920,260.0,0,670,0.8074747474747475,128.0,3299.3095185128914,199.70284164580687,12.920791548578892,4.924342564944614,0.0,0.0,0.0,0,0.0,0,0.0
45,45,0,354,5244,451.0,0,591,0.8074747474747475,128.0,2932.485783075679,189.69036868564237,13.222417773008479,4.961904878300642,0.0,0.0,0.0,0,0.0,0,0.0
46,46,8,242,4040,294.0,1,620,0.82,128.0,3076.0629401511746,192.52080734584126,13.058596851305243,4.961391838953507,6.56,24608.503521209397,0.3482523073985934,1936,1024.0,32320,1540.16645876673
47,47,10,187,3474,342.0,1,464,0.801212121212121,128.0,2314.0640349168193,173.55692014056746,13.865662561503951,4.98720697180349,8.01212121212121,23140.640349168192,0.4330620740207849,1870,1280.0,34740,1735.5692014056744
48,48,0,198,3596,252.0,0,670,0.8074747474747475,128.0,3299.7161328685215,199.79915476039537,12.927560708344785,4.924949452042569,0.0,0.0,0.0,0,0.0,0,0.0
49,49,8,200,3622,469.0,1,261,0.8074747474747475,128.0,1359.4623780331328,146.8153529570904,16.31856321776792,5.208668115069474,6.45979797979798,10875.699024265063,0.33171937962898285,1600,1024.0,28976,1174.5228236567232
50,50,9,215,3749,334.0,1,457,0.801212121212121,128.0,2280.4953192170356,172.64718436604207,13.911689730488856,4.990142930453032,7.210909090909089,20524.45787295332,0.38952655312533413,1935,1152.0,33741,1553.8246592943785
51,51,0,768,9714,313.0,0,802,0.801212121212121,128.0,3978.3799886776906,217.9432173762515,12.660300161341999,4.960573551967196,0.0,0.0,0.0,0,0.0,0,0.0
52,52,0,673,8690,398.0,0,740,0.8074747474747475,128.0,3649.8937918302695,208.82803345764412,12.764712504461682,4.932288907878743,0.0,0.0,0.0,0,0.0,0,0.0
53,53,6,575,7595,300.0,1,462,0.801212121212121,128.0,2304.433921917066,173.2969863096533,13.878563132009212,4.9879522119417015,4.807272727272727,13826.603531502396,0.2597984226403868,3450,768.0,45570,1039.7819178579198
54,54,0,789,9971,307.0,0,517,0.8137373737373736,128.0,2564.220842598152,179.92829797734186,13.507774172820325,4.959808206185981,0.0,0.0,0.0,0,0.0,0,0.0
55,55,0,591,7814,298.0,0,780,0.801212121212121,128.0,3829.4243484179783,214.5875393254897,12.68828278731873,4.909518395407664,0.0,0.0,0.0,0,0.0,0,0.0
56,56,0,620,8096,215.0,0,594,0.82,128.0,2951.416406572781,189.16235271365426,13.154597721094532,4.968714489179766,0.0,0.0,0.0,0,0.0,0,0.0
57,57,10,464,6433,374.0,1,700,0.82,128.0,3459.689251757849,202.68919710322268,12.809631627121789,4.942413216796927,8.2,34596.89251757849,0.43698697378035867,4640,1280.0,64330,2026.8919710322268
58,58,0,670,8661,374.0,0,718,0.82,128.0,3515.2196429558794,204.8589632843944,12.705444464502742,4.895849084896768,0.0,0.0,0.0,0,0.0,0,0.0
59,59,8,261,4259,697.0,1,457,0.8137373737373736,128.0,2276.567890112166,172.20023974681965,13.861155819975993,4.981548993680889,6.509898989898989,18212.543120897328,0.34684315220343115,2088,1024.0,34072,1377.6019179745572
60,60,0,517,6983,192.0,0,1018,0.8074747474747475,125.0,4971.508243793835,244.6992307636651,12.279194419324837,4.883603382901606,0.0,0.0,0.0,0,0.0,0,0.0
61,61,0,780,9896,254.0,0,421,0.801212121212121,128.0,2104.5313186293865,167.768139739227,14.145036196183682,4.998886742587617,0.0,0.0,0.0,0,0.0,0,0.0
62,62,6,594,7813,354.0,1,375,0.8137373737373736,128.0,1888.4263307276974,161.6207684480867,14.55345265493206,5.035803548607193,4.882424242424242,11330.557984366184,0.2573297596619894,3564,768.0,46878,969.7246106885202
63,63,0,700,8966,291.0,0,587,0.8074747474747475,128.0,2912.1158778244203,189.11052306773075,13.231208406359528,4.961015124062045,0.0,0.0,0.0,0,0.0,0,0.0
64,64,0,718,9122,340.0,0,243,0.7698989898989899,128.0,1280.405196397773,145.8330389254259,16.687041429563813,5.2691571868221105,0.0,0.0,0.0,0,0.0,0,0.0
65,65,8,457,6334,384.0,1,424,0.801212121212121,128.0,2110.800493818699,168.46541976881954,14.130092093323372,4.978303051459196,6.409696969696968,16886.403950549593,0.3470693001137541,3656,1024.0,50672,1347.7233581505564
66,66,0,587,7766,221.0,0,405,0.801212121212121,128.0,2020.316744949497,165.9888238761782,14.286703833390774,4.988436407282709,0.0,0.0,0.0,0,0.0,0,0.0
67,67,4,243,4054,505.0,1,785,0.8137373737373736,128.0,3853.8790966549304,214.2791160707789,12.626511357489958,4.9094001231273,3.2549494949494946,15415.516386619722,0.17597019111201376,972,512.0,16216,857.1164642831156
68,68,0,424,5991,204.0,0,802,0.8137373737373736,128.0,3937.522458505887,215.96792519188622,12.600511550753348,4.9096290006307814,0.0,0.0,0.0,0,0.0,0,0.0
69,69,10,405,5786,327.0,1,1018,0.8137373737373736,124.0,4974.833098363153,243.9387574328707,12.25050743464767,4.886869448293863,8.137373737373736,49748.33098363153,0.44195373288193124,4050,1240.0,57860,2439.3875743287067
70,70,0,785,9911,150.0,0,919,0.8137373737373736,128.0,4552.516903075871,231.36926768989755,12.453424596227698,4.953772473423146,0.0,0.0,0.0,0,0.0,0,0.0
71,71,0,802,10105,164.0,0,668,0.8074747474747475,128.0,3285.960134478055,199.52201131378033,12.925127669798771,4.919101997721639,0.0,0.0,0.0,0,0.0,0,0.0
72,72,0,1018,12471,55.0,0,335,0.8137373737373736,128.0,1688.150190121101,156.3511021601212,14.969012018959084,5.039254298868959,0.0,0.0,0.0,0,0.0,0,0.0
73,73,10,335,5014,324.0,1,688,0.82,128.0,3375.490081040189,201.10000520470658,12.783857750051219,4.906235582907252,8.2,33754.900810401894,0.4402092313513283,3350,1280.0,50140,2011.0000520470658
74,74,0,688,8795,227.0,0,559,0.8137373737373736,128.0,2758.627408265381,184.9685545403262,13.268247349706353,4.934932751816424,0.0,0.0,0.0,0,0.0,0,0.0
75,75,0,559,7416,255.0,0,518,0.8137373737373736,128.0,2561.3115463931417,179.6845709542133,13.456638639845691,4.944616884928845,0.0,0.0,0.0,0,0.0,0,0.0
76,76,3,518,6970,255.0,1,975,0.8074747474747475,128.0,4815.61900808955,239.41239529273375,12.403038785909446,4.939096418553385,2.4224242424242424,14446.857024268651,0.13118412833572787,1554,384.0,20910,718.2371858782012
77,77,0,975,12092,150.0,0,740,0.801212121212121,128.0,3626.497618647768,209.51233841335966,12.767892417221182,4.900672457632119,0.0,0.0,0.0,0,0.0,0,0.0
78,78,0,740,9448,175.0,0,421,0.8137373737373736,128.0,2098.402219655203,167.18796704769065,14.07195819887111,4.984328312720198,0.0,0.0,0.0,0,0.0,0,0.0
79,79,0,421,5924,144.0,0,919,0.801212121212121,128.0,4555.001394294587,232.8586755632294,12.526425120727515,4.956475945913588,0.0,0.0,0.0,0,0.0,0,0.0
80,80,0,919,11511,63.0,0,326,0.8137373737373736,128.0,1646.5873122200692,155.19135561985382,15.093471657145342,5.050881325828433,0.0,0.0,0.0,0,0.0,0,0.0
81,81,7,154,3109,188.0,1,154,0.6446464646464646,128.0,795.6410496151968,134.10129185192577,20.190980714383816,5.166500322176603,4.512525252525252,5569.487347306378,0.2926234476085682,1078,896.0,21763,938.7090429634803
82,82,0,426,5950,322.0,0,426,0.8137373737373736,128.0,2133.4227777178653,168.41226149716158,13.968818787085047,5.008034689478557,0.0,0.0,0.0,0,0.0,0,0.0
83,83,0,257,4195,192.0,0,257,0.7824242424242422,128.0,1310.931198412137,146.623473196914,16.32588440833491,5.100899604716487,0.0,0.0,0.0,0,0.0,0,0.0
84,84,10,326,4911,256.0,1,326,0.8137373737373736,128.0,1638.318330604402,155.19951432742351,15.066521114803905,5.025516351547245,8.137373737373736,16383.18330604402,0.4297608531539633,3260,1280.0,49110,1551.995143274235
85,85,0,670,8599,183.0,0,670,0.82,128.0,3284.838386001741,198.73572440205803,12.834383712757797,4.902743859704091,0.0,0.0,0.0,0,0.0,0,0.0
86,86,0,462,6345,171.0,0,462,0.8137373737373736,128.0,2278.8634398581157,172.41424549178603,13.735513249728578,4.93260484817774,0.0,0.0,0.0,0,0.0,0,0.0
87,87,0,375,5426,99.0,0,375,0.801212121212121,128.0,1890.060931280029,162.4500467191191,14.470284589136508,5.040162483413411,0.0,0.0,0.0,0,0.0,0,0.0
88,88,0,668,8576,78.0,0,668,0.82,128.0,3275.019938623292,198.47987304940804,12.839774632825677,4.902724459016905,0.0,0.0,0.0,0,0.0,0,0.0
89,89,0,326,4921,260.0,0,326,0.801212121212121,128.0,1637.489591219045,155.47485275775847,15.097893101508323,5.02297420619339,0.0,0.0,0.0,0,0.0,0,0.0
