,pax_number
0,0.0
1,261.0
2,870.0
3,870.0
4,0.0
5,0.0
6,0.0
7,783.0
8,0.0
9,0.0
10,0.0
11,0.0
12,870.0
13,609.0
14,870.0
15,253.0
16,516.0
17,0.0
18,0.0
19,252.0
20,870.0
21,161.0
22,0.0
23,0.0
24,174.0
25,151.0
26,683.0
27,870.0
28,870.0
29,58.99999999999999
30,0.0
31,507.0
32,0.0
33,0.0
34,870.0
35,0.0
36,0.0
37,0.0
38,0.0
39,850.0
40,0.0
41,0.0
42,870.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,783.0
51,0.0
52,841.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,87.0
61,87.0
62,502.0
63,0.0
64,783.0
65,0.0
66,0.0
67,58.99999999999999
68,174.0
69,261.0
70,856.9999999999999
71,522.0
72,0.0
73,0.0
74,0.0
75,522.0
76,0.0
77,0.0
78,783.0
79,87.0
80,87.0
81,783.0
82,0.0
83,0.0
84,0.0
85,568.0
86,0.0
87,487.0
88,0.0
89,870.0
90,0.0
91,87.0
92,855.0
93,0.0
94,87.0
95,0.0
96,174.0
97,58.99999999999999
98,870.0
99,0.0
