,pax_number
0,0.0
1,0.0
2,909.0
3,190.0
4,0.0
5,0.0
6,101.0
7,980.0
8,0.0
9,0.0
10,0.0
11,0.0
12,1010.0
13,606.0
14,1004.0
15,65.0
16,606.0
17,0.0
18,0.0
19,70.0
20,973.0
21,0.0
22,0.0
23,0.0
24,0.0
25,101.0
26,505.0
27,707.0
28,707.0
29,0.0
30,0.0
31,808.0
32,0.0
33,0.0
34,808.0
35,0.0
36,0.0
37,0.0
38,0.0
39,707.0
40,0.0
41,0.0
42,707.0
43,101.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,1010.0
51,0.0
52,0.0
53,0.0
54,808.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,101.0
61,0.0
62,707.0
63,0.0
64,677.0
65,101.0
66,0.0
67,0.0
68,0.0
69,1010.0
70,707.0
71,587.0
72,0.0
73,0.0
74,0.0
75,707.0
76,0.0
77,0.0
78,1010.0
79,202.0
80,0.0
81,606.0
82,0.0
83,0.0
84,99.0
85,972.0
86,0.0
87,606.0
88,0.0
89,594.0
90,0.0
91,0.0
92,1009.0000000000001
93,0.0
94,0.0
95,0.0
96,0.0
97,79.0
98,1010.0
99,0.0
