,index,aircraft_number,distances,doc,demand,active_arcs,distances01,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
0,0,1,354,6887,451.0,1,354,0.7886868686868687,81.0,2055.9336693195623,172.91471453233837,19.455741642482604,5.807722229716278,0.7886868686868687,2055.9336693195623,0.03817834530311774,354,81.0,6887,172.91471453233837
1,1,10,242,5495,294.0,1,242,0.7135353535353535,81.0,1492.1038746739537,156.88581560158875,22.709520973868862,6.1657184903882385,7.135353535353534,14921.038746739538,0.35961619891721536,2420,810.0,54950,1568.8581560158875
2,2,10,198,4846,252.0,1,198,0.6321212121212121,81.0,1322.6849038939029,150.3796137851425,24.47963644214841,6.680226787342944,6.32121212121212,13226.849038939028,0.33191870840494864,1980,810.0,48460,1503.796137851425
3,3,0,768,12012,313.0,0,768,0.801212121212121,81.0,4038.9066383311456,227.63502291384418,15.641429082369292,5.2589930186603455,0.0,0.0,0.0,0,0.0,0,0.0
4,4,0,591,9788,298.0,0,591,0.7949494949494949,81.0,3208.3918745285127,205.71628815497635,16.562300286055077,5.428751056731832,0.0,0.0,0.0,0,0.0,0,0.0
5,5,0,517,8902,192.0,0,517,0.776161616161616,81.0,2811.3195731730048,195.17375991502473,17.220341808057558,5.437755460682794,0.0,0.0,0.0,0,0.0,0,0.0
6,6,0,587,9738,221.0,0,587,0.7949494949494949,81.0,3189.4180630271876,205.1899941679755,16.590727427959276,5.433420891017355,0.0,0.0,0.0,0,0.0,0,0.0
7,7,9,335,6694,324.0,1,335,0.801212121212121,81.0,1977.6005676521354,170.9959765584482,19.984490210468515,5.903285276573539,7.210909090909089,17798.405108869218,0.33804278954897454,3015,729.0,60246,1538.9637890260337
8,8,8,154,4325,188.0,1,154,0.6195959595959595,81.0,1104.469898181983,143.34794829569236,28.08996879717238,7.171882455727162,4.956767676767676,8835.759185455863,0.24733168852608547,1232,648.0,34600,1146.783586365539
9,9,10,187,4763,342.0,1,354,0.801212121212121,81.0,2070.756506772443,173.54328749290613,19.581067726928847,5.849594651899557,8.01212121212121,20707.56506772443,0.379050580263195,1870,810.0,47630,1735.4328749290612
10,10,10,200,4907,469.0,1,187,0.6258585858585858,81.0,1270.1461453239572,148.19899737505978,25.47155913676774,6.792225376063942,6.258585858585858,12701.461453239572,0.32644562339183136,2000,810.0,49070,1481.9899737505978
11,11,0,673,10800,398.0,0,200,0.6446464646464646,81.0,1314.3107949310067,150.1724397243578,24.536333275054826,6.571553974655034,0.0,0.0,0.0,0,0.0,0,0.0
12,12,5,620,10141,215.0,1,673,0.7949494949494949,81.0,3560.4932065407343,214.7757731771487,16.04782867583573,5.290480247460229,3.974747474747474,17802.466032703673,0.20955491216241212,3100,405.0,50705,1073.8788658857434
13,13,0,780,12124,254.0,0,620,0.7824242424242422,81.0,3270.108247987388,208.40822643943764,16.35670960177578,5.274368141915142,0.0,0.0,0.0,0,0.0,0,0.0
14,14,10,243,5475,505.0,1,780,0.7886868686868687,81.0,4047.892112758525,229.17658782181343,15.544442794745871,5.18960527276734,7.886868686868686,40478.92112758525,0.4272564348472395,2430,810.0,54750,2291.7658782181343
15,15,0,688,11028,227.0,0,243,0.7135353535353535,81.0,1523.0598874970754,157.76283976608073,22.531317917194425,6.267736162539404,0.0,0.0,0.0,0,0.0,0,0.0
16,16,0,426,7797,322.0,0,688,0.7824242424242422,81.0,3654.0022307669033,218.3210007864213,16.030003319240084,5.311049754021662,0.0,0.0,0.0,0,0.0,0,0.0
17,17,10,215,5104,334.0,1,426,0.801212121212121,81.0,2403.5861331267934,182.96112251921232,18.3043966220086,5.642220969781205,8.01212121212121,24035.861331267934,0.39298217120216616,2150,810.0,51040,1829.6112251921231
18,18,7,575,9620,300.0,1,242,0.7260606060606059,81.0,1507.4618214979334,157.40462426220176,22.650312834789425,6.2291810805699726,5.082424242424241,10552.232750485535,0.24916671275076951,4025,567.0,67340,1101.8323698354125
19,19,10,464,8255,374.0,1,187,0.6133333333333333,81.0,1269.1010677158522,148.11528000948417,25.308039341410357,6.78663672575322,6.133333333333333,12691.010677158522,0.3267144443864309,4640,810.0,82550,1481.1528000948417
