,pax_number
0,0.0
1,0.0
2,920.0
3,736.0
4,0.0
5,0.0
6,0.0
7,536.0
8,89.0
9,0.0
10,0.0
11,0.0
12,880.0
13,718.0
14,901.0
15,552.0
16,552.0
17,0.0
18,0.0
19,92.0
20,791.0
21,0.0
22,0.0
23,0.0
24,163.0
25,0.0
26,920.0
27,920.0
28,920.0
29,0.0
30,0.0
31,552.0
32,0.0
33,0.0
34,920.0
35,0.0
36,0.0
37,0.0
38,0.0
39,920.0
40,0.0
41,0.0
42,920.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,604.0
51,0.0
52,0.0
53,0.0
54,920.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,184.0
62,460.0
63,0.0
64,552.0
65,0.0
66,0.0
67,0.0
68,0.0
69,920.0
70,920.0
71,324.0
72,0.0
73,0.0
74,0.0
75,734.0
76,0.0
77,0.0
78,920.0
79,0.0
80,0.0
81,552.0
82,0.0
83,0.0
84,47.00000000000001
85,736.0
86,0.0
87,879.0
88,0.0
89,736.0
90,60.0
91,0.0
92,810.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,920.0
99,0.0
