,pax_number
0,0.0
1,109.99999999999999
2,1027.0
3,302.0
4,0.0
5,0.0
6,0.0
7,579.0
8,0.0
9,0.0
10,0.0
11,0.0
12,1498.0
13,0.0
14,1359.0
15,0.0
16,1057.0
17,0.0
18,0.0
19,0.0
20,1031.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,906.0
27,1196.0
28,453.0
29,100.00000000000001
30,0.0
31,906.0
32,0.0
33,0.0
34,302.0
35,0.0
36,0.0
37,0.0
38,0.0
39,597.0
40,0.0
41,0.0
42,409.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,906.0
51,0.0
52,0.0
53,0.0
54,1208.0
55,0.0
56,137.0
57,0.0
58,0.0
59,0.0
60,0.0
61,151.0
62,302.0
63,0.0
64,730.0
65,0.0
66,0.0
67,0.0
68,0.0
69,1023.0
70,755.0
71,0.0
72,0.0
73,0.0
74,0.0
75,906.0
76,132.0
77,0.0
78,1359.0
79,0.0
80,0.0
81,151.0
82,0.0
83,0.0
84,144.0
85,1296.0
86,0.0
87,604.0
88,0.0
89,0.0
90,0.0
91,265.0
92,879.9999999999999
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,1510.0
99,0.0
