,origin,destination,aircraft_number,distances,doc,demand,revenue,active_arcs,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
34,CD4,CD5,6.0,788,31660.0,307.0,35400.0,1,0.7886868686868687,70.0,2324.6434598183773,217.1110493972312,8.036110055777245,2.9500551520537783,4.732121212121212,13947.860758910265,0.47198952788047277,4728.0,420.0,189960.0,1302.6662963833871
35,CD4,CD6,7.0,670,27575.0,374.0,35400.0,1,0.7824242424242422,70.0,1981.4107859719213,201.94497701577694,8.23228023156643,2.957329531301375,5.476969696969696,13869.87550180345,0.5492999605393689,4690.0,490.0,193025.0,1413.6148391104387
36,CD4,CD7,5.0,700,34152.0,291.0,42480.0,1,0.801212121212121,70.0,2082.2548763027326,204.14306148046765,8.131616665239902,2.974649823289618,4.006060606060605,10411.274381513664,0.39007256348227665,3500.0,350.0,170760.0,1020.7153074023382
37,CD4,CD8,6.0,406,22326.0,327.0,42480.0,1,0.776161616161616,70.0,1248.9778279555549,167.05114012854355,9.165451860274436,3.0763000688560465,4.656969696969696,7493.866967733329,0.4526200654271661,2436.0,420.0,133956.0,1002.3068407712612
38,CD4,CD9,5.0,519,13401.0,255.0,21240.0,1,0.7949494949494949,70.0,1572.3852316245657,180.92640867970763,8.607509345317597,3.0296439915694906,3.974747474747474,7861.926158122828,0.3829919572271528,2595.0,350.0,67005.0,904.6320433985381
39,CD4,CD10,5.0,326,12748.0,256.0,28320.0,1,0.7886868686868687,70.0,1046.4364556044065,155.7032781753012,9.777443964647812,3.2099277779276276,3.943434343434343,5232.182278022033,0.3614814295858727,1630.0,350.0,63740.0,778.516390876506
40,CD5,CD1,6.0,768,24556.0,313.0,28320.0,1,0.801212121212121,70.0,2258.3796757445652,212.93673240103308,7.9942044836308535,2.940598536125736,4.807272727272727,13550.278054467391,0.47350739019060795,4608.0,420.0,147336.0,1277.6203944061986
41,CD5,CD2,7.0,672,21896.0,398.0,28320.0,1,0.801212121212121,70.0,1983.8233351899162,200.3867654439406,8.147138574275667,2.9521180583183275,5.6084848484848475,13886.763346329413,0.5502696581759094,4704.0,490.0,153272.0,1402.7073581075842
42,CD5,CD3,6.0,574,33649.0,300.0,49560.0,1,0.7949494949494949,70.0,1699.8870218221289,187.99199735490208,8.375036563140496,2.9614756477737436,4.7696969696969695,10199.322130932773,0.47016936961340094,3444.0,420.0,201894.0,1127.9519841294125
43,CD5,CD4,6.0,788,31370.0,307.0,35400.0,1,0.801212121212121,70.0,2313.3798371291878,215.52326848937034,7.962737873682976,2.935761214630949,4.807272727272727,13880.279022775127,0.4742875992434063,4728.0,420.0,188220.0,1293.139610936222
44,CD5,CD5,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
45,CD5,CD6,12.0,261,13805.0,697.0,35400.0,1,0.7010101010101009,70.0,815.2341013060711,149.52866036336803,10.582178946707604,3.1235023038546785,8.41212121212121,9782.809215672853,0.8915601801995665,3132.0,840.0,165660.0,1794.3439243604164
46,CD5,CD7,6.0,720,34836.0,340.0,42480.0,1,0.801212121212121,70.0,2119.9855422919027,206.68801775776907,8.064467101172877,2.944424364294309,4.807272727272727,12719.913253751416,0.47289213991167844,4320.0,420.0,209016.0,1240.1281065466144
47,CD5,CD8,3.0,784,25096.0,150.0,28320.0,1,0.7886868686868687,70.0,2290.635359110637,216.417770748983,8.00273575679676,2.9217287743758127,2.366060606060606,6871.906077331912,0.2382827507212208,2352.0,210.0,75288.0,649.253312246949
48,CD5,CD9,3.0,977,37945.0,150.0,35400.0,1,0.8074747474747475,70.0,2872.0316007330425,239.46976260609046,7.768502081481177,2.9396433989079247,2.4224242424242424,8616.094802199128,0.2368306201623797,2931.0,210.0,113835.0,718.4092878182714
49,CD5,CD10,4.0,670,21856.0,183.0,28320.0,1,0.7949494949494949,70.0,1968.5860509097045,200.65879258906435,8.156624959462947,2.938188135686126,3.1797979797979794,7874.344203638818,0.3159305608622567,2680.0,280.0,87424.0,802.6351703562574
50,CD6,CD1,6.0,591,24775.0,298.0,35400.0,1,0.7949494949494949,70.0,1771.0863752332368,190.41190683003543,8.384517533439407,2.9967620562322113,4.7696969696969695,10626.51825139942,0.464633198202549,3546.0,420.0,148650.0,1142.4714409802127
51,CD6,CD2,4.0,620,15507.0,215.0,21240.0,1,0.7824242424242422,70.0,1841.3110643724885,195.24980415498146,8.337713377463603,2.9698565554394976,3.129696969696969,7365.244257489954,0.31256170400754457,2480.0,280.0,62028.0,780.9992166199258
52,CD6,CD3,7.0,463,24558.0,374.0,42480.0,1,0.7886868686868687,70.0,1413.5290500005858,173.8897587650862,8.842052962424466,3.0529785097204876,5.520808080808081,9894.7033500041,0.5320905436030998,3241.0,490.0,171906.0,1217.2283113556034
53,CD6,CD4,7.0,670,27490.0,374.0,35400.0,1,0.7949494949494949,70.0,1992.8382377062987,200.84888823132988,8.206161017569856,2.9743854294123864,5.564646464646464,13949.867663944091,0.5461501319843007,4690.0,490.0,192430.0,1405.942217619309
54,CD6,CD5,12.0,261,13895.0,697.0,35400.0,1,0.7135353535353535,70.0,838.7673403645344,149.1398769369747,10.64773356561565,3.213667970745343,8.562424242424242,10065.208084374413,0.8665457359717733,3132.0,840.0,166740.0,1789.6785232436964
55,CD6,CD6,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
56,CD6,CD7,7.0,459,44737.0,384.0,77880.0,1,0.7886868686868687,70.0,1402.6861029761735,173.35856909125388,8.860706770480473,3.0559610086626874,5.520808080808081,9818.802720833215,0.5315712439526945,3213.0,490.0,313159.0,1213.5099836387772
57,CD6,CD8,3.0,802,32145.0,164.0,35400.0,1,0.7886868686868687,70.0,2364.9087201811644,218.93139628595932,8.017053892191624,2.9487639902508285,2.366060606060606,7094.726160543493,0.23609809788825775,2406.0,210.0,96435.0,656.794188857878
58,CD6,CD9,3.0,741,11946.0,175.0,14160.0,1,0.801212121212121,70.0,2198.4722092417023,209.47111893374293,8.062072803601716,2.9668990678025673,2.4036363636363633,6595.416627725107,0.23465495566562974,2223.0,210.0,35838.0,628.4133568012288
59,CD6,CD10,3.0,463,8186.0,171.0,14160.0,1,0.7886868686868687,70.0,1413.5290500005858,173.8897587650862,8.842052962424466,3.0529785097204876,2.366060606060606,4240.587150001757,0.22803880440132848,1389.0,210.0,24558.0,521.6692762952587
60,CD7,CD1,4.0,517,22350.0,192.0,35400.0,1,0.776161616161616,70.0,1548.6744477208722,182.0276963334601,8.646931343830836,2.995501833115807,3.104646464646464,6194.697790883489,0.30988578119499993,2068.0,280.0,89400.0,728.1107853338405
61,CD7,CD2,5.0,781,12562.0,254.0,14160.0,1,0.7886868686868687,70.0,2304.000055055539,216.1078848105495,8.042762602114038,2.9500640909802036,3.943434343434343,11520.000275277696,0.39332341476254024,3905.0,350.0,62810.0,1080.5394240527476
62,CD7,CD3,6.0,595,14991.0,354.0,21240.0,1,0.7824242424242422,70.0,1771.8971941849752,191.90357328415587,8.3989523097134,2.9779784776218072,4.6945454545454535,10631.383165109852,0.46756386888033397,3570.0,420.0,89946.0,1151.4214397049352
63,CD7,CD4,5.0,700,34338.0,291.0,42480.0,1,0.7824242424242422,70.0,2065.618784871032,205.9592696343628,8.176965015779988,2.9508839783871883,3.9121212121212112,10328.09392435516,0.39321413194525634,3500.0,350.0,171690.0,1029.796348171814
64,CD7,CD5,6.0,720,35178.0,340.0,42480.0,1,0.7824242424242422,70.0,2122.2032263158203,208.63667100417453,8.143621534051857,2.947504480994195,4.6945454545454535,12733.219357894923,0.4723979717138762,4320.0,420.0,211068.0,1251.8200260250471
65,CD7,CD6,7.0,459,44836.0,384.0,77880.0,1,0.776161616161616,70.0,1391.1752209351341,174.20091384539842,8.882159014261699,3.030882834281338,5.433131313131312,9738.226546545939,0.5359695783921442,3213.0,490.0,313852.0,1219.406396917789
66,CD7,CD7,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
67,CD7,CD8,1.0,1020,47778.0,55.0,42480.0,1,0.7949494949494949,70.0,3013.641188146409,246.9197208651011,7.807454684321867,2.954550184457264,0.7949494949494949,3013.641188146409,0.07854524104120637,1020.0,70.0,47778.0,246.9197208651011
68,CD7,CD9,3.0,421,7626.0,144.0,14160.0,1,0.7886868686868687,70.0,1300.0846604855988,168.31295573476368,9.057951722578052,3.0880870795382394,2.366060606060606,3900.2539814567963,0.2254462232728592,1263.0,210.0,22878.0,504.938867204291
69,CD7,CD10,2.0,375,7028.0,99.0,14160.0,1,0.776161616161616,70.0,1165.9518756413245,162.86714877557446,9.371145793298407,3.1092050017101984,1.552323232323232,2331.903751282649,0.14927665192799458,750.0,140.0,14056.0,325.7342975511489
70,CD8,CD1,4.0,589,14817.0,221.0,21240.0,1,0.7949494949494949,70.0,1763.284808875623,190.16457250652675,8.386185461679604,2.9936923750010576,3.1797979797979794,7053.139235502492,0.3100730834529444,2356.0,280.0,59268.0,760.658290026107
71,CD8,CD2,9.0,243,2675.0,505.0,7080.0,1,0.6759595959595959,70.0,778.9084847098654,147.78577979869706,11.009493028534473,3.205384710740187,6.083636363636363,7010.176362388789,0.651588778301913,2187.0,630.0,24075.0,1330.0720181882737
72,CD8,CD3,4.0,425,15344.0,204.0,28320.0,1,0.7886868686868687,70.0,1308.3634623310852,168.8298016632549,9.027750934712188,3.078502264308436,3.1547474747474746,5233.453849324341,0.3015308568677224,1700.0,280.0,61376.0,675.3192066530196
73,CD8,CD4,6.0,406,22260.0,327.0,42480.0,1,0.7886868686868687,70.0,1257.275150990079,166.3066933246871,9.13920883947616,3.096736825098717,4.732121212121212,7543.650905940474,0.4496330224622278,2436.0,420.0,133560.0,997.8401599481226
74,CD8,CD5,3.0,784,25076.0,150.0,28320.0,1,0.801212121212121,70.0,2319.379626742015,215.07219981208505,7.996553442349615,2.9583923810484882,2.4036363636363633,6958.138880226044,0.2353296924638743,2352.0,210.0,75228.0,645.2165994362551
75,CD8,CD6,3.0,802,31965.0,164.0,35400.0,1,0.801212121212121,70.0,2372.6176043941637,217.48472612359694,7.9713458235307835,2.958376065329381,2.4036363636363633,7117.852813182491,0.23533099032901217,2406.0,210.0,95895.0,652.4541783707908
76,CD8,CD7,1.0,1020,47568.0,55.0,42480.0,1,0.8074747474747475,70.0,3025.8170759164364,245.18903888208789,7.772775518022864,2.9664873293298397,0.8074747474747475,3025.8170759164364,0.07822917499498055,1020.0,70.0,47568.0,245.18903888208789
77,CD8,CD8,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
78,CD8,CD9,2.0,922,0.0,63.0,0.0,1,0.8074747474747475,70.0,2736.7756042706974,232.4429296075327,7.848237652793588,2.9683032584280884,1.614949494949495,5473.551208541395,0.15636263292681937,1844.0,140.0,0.0,464.8858592150654
79,CD8,CD10,2.0,670,10988.0,78.0,14160.0,1,0.7949494949494949,70.0,1990.1951684271758,200.83319649246835,8.201004314473103,2.970440549891307,1.5898989898989897,3980.3903368543515,0.15625012688102993,1340.0,140.0,21976.0,401.6663929849367
