,index,aircraft_number,distances,doc,demand,active_arcs,distances01,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
0,0,0,354,4986,451.0,0,354,0.801212121212121,107.0,1313.5822102873417,163.70116215363575,14.085019289888345,3.7106842098512476,0.0,0.0,0.0,0,0.0,0,0.0
1,1,10,242,3911,294.0,1,242,0.6947474747474747,107.0,827.6494434716803,151.17419126809492,16.16380498867767,3.4200390226102493,6.947474747474747,8276.494434716804,0.6195346033895855,2420,1070.0,39110,1511.741912680949
2,2,0,198,3487,252.0,0,198,0.6321212121212121,107.0,659.3864090056996,145.3476617803417,17.614799263950008,3.330234388917675,0.0,0.0,0.0,0,0.0,0,0.0
3,3,0,768,9150,313.0,0,768,0.8137373737373736,106.0,2928.0369398752487,216.75198486310867,11.91514634043492,3.812548098795897,0.0,0.0,0.0,0,0.0,0,0.0
4,4,0,591,7409,298.0,0,591,0.8074747474747475,107.0,2273.434189510465,194.31913996547522,12.536540445212706,3.846758357885727,0.0,0.0,0.0,0,0.0,0,0.0
5,5,3,517,6585,192.0,1,517,0.82,107.0,1885.4826843338542,185.57929518166355,12.737002610892272,3.6469684416515555,2.46,5656.448053001563,0.1742953814941885,1551,321.0,19755,556.7378855449906
6,6,0,587,7367,221.0,0,587,0.8074747474747475,107.0,2257.446516505843,193.78626998227296,12.551546256722137,3.8457351218157463,0.0,0.0,0.0,0,0.0,0,0.0
7,7,5,335,4793,324.0,1,335,0.8137373737373736,107.0,1243.019633380807,161.213547353067,14.310116941731765,3.710506368300916,4.068686868686868,6215.098166904035,0.28551797371257237,1675,535.0,23965,806.0677367653351
8,8,10,154,3033,188.0,1,154,0.5945454545454545,107.0,525.8291997046805,137.70940418694346,19.699930174417585,3.4144753227576654,5.945454545454545,5258.291997046805,0.6205441009714177,1540,1070.0,30330,1377.0940418694345
9,9,10,187,3405,342.0,1,354,0.8137373737373736,107.0,1315.2163963530397,163.63437015524946,14.08972705367933,3.7153005546696036,8.137373737373736,13152.163963530398,0.5702990883972161,1870,1070.0,34050,1636.3437015524946
10,10,10,200,3504,469.0,1,187,0.6321212121212121,107.0,625.9320417811352,142.79570271134787,18.21330476044222,3.347230169952595,6.32121212121212,6259.320417811352,0.6330107019439761,2000,1070.0,35040,1427.9570271134787
11,11,0,673,8283,398.0,0,200,0.6446464646464646,107.0,671.3019324138701,145.7644098867745,17.521368343126102,3.3565096620693504,0.0,0.0,0.0,0,0.0,0,0.0
12,12,0,620,7757,215.0,0,673,0.8137373737373736,107.0,2592.1949610434685,205.94831960380372,12.307579096545028,3.8517012794108,0.0,0.0,0.0,0,0.0,0,0.0
13,13,0,780,9423,254.0,0,620,0.7949494949494949,107.0,2355.1711902094976,199.99664487964475,12.512374444970712,3.798663210015319,0.0,0.0,0.0,0,0.0,0,0.0
14,14,6,243,3925,505.0,1,780,0.801212121212121,106.0,3049.597435302495,219.89428506110576,12.081646439185668,3.9097403016698653,4.807272727272727,18297.58461181497,0.32516213701633095,1458,636.0,23550,1319.3657103666346
15,15,0,688,8453,227.0,0,243,0.6947474747474747,107.0,830.7476258729051,151.45668613649752,16.15246488410519,3.4187145097650418,0.0,0.0,0.0,0,0.0,0,0.0
16,16,0,426,5665,322.0,0,688,0.7949494949494949,107.0,2659.4034333125364,207.3723558172364,12.28748980923552,3.8654119670240354,0.0,0.0,0.0,0,0.0,0,0.0
17,17,10,215,3638,334.0,1,426,0.82,107.0,1589.3499931766537,172.1253014828608,13.298884037496146,3.730868528583694,8.2,15893.499931766537,0.5679193740590195,2150,1070.0,36380,1721.253014828608
18,18,7,575,7243,300.0,1,242,0.7072727272727273,107.0,831.4712760266858,151.0251321121502,16.1484053391901,3.4358317191185366,4.950909090909091,5820.298932186801,0.4316808519351272,4025,749.0,50701,1057.1759247850514
19,19,10,464,6110,374.0,1,187,0.6383838383838383,107.0,616.5156377772892,142.95483560432174,18.050741324158338,3.2968750683277497,6.383838383838382,6165.156377772892,0.6426790447126243,4640,1070.0,61100,1429.5483560432174
20,20,0,594,7456,354.0,0,215,0.6634343434343433,107.0,723.5431912623786,147.39619932137973,16.923363433487022,3.365317168662226,0.0,0.0,0.0,0,0.0,0,0.0
21,21,0,424,5710,204.0,0,575,0.8074747474747475,107.0,2208.4971605529313,192.21821487452868,12.596700684318142,3.840864627048576,0.0,0.0,0.0,0,0.0,0,0.0
22,22,0,559,7100,255.0,0,464,0.8074747474747475,107.0,1754.6479004517464,177.13365388473028,13.16844899780637,3.7815687509735914,0.0,0.0,0.0,0,0.0,0,0.0
23,23,8,257,4049,192.0,1,594,0.7949494949494949,107.0,2261.1039105069435,194.65037783675004,12.553328820168177,3.8065722399106794,6.359595959595959,18088.831284055548,0.4452998416232793,2056,856.0,32392,1557.2030226940003
24,24,0,789,9493,307.0,0,424,0.8074747474747475,107.0,1569.1993285972437,174.16410016446542,13.468661685967405,3.7009418127293485,0.0,0.0,0.0,0,0.0,0,0.0
25,25,0,670,8261,374.0,0,559,0.7886868686868687,107.0,2120.3451571982646,191.38589015837405,12.70221462171846,3.7931040379217613,0.0,0.0,0.0,0,0.0,0,0.0
26,26,7,700,8602,291.0,1,257,0.7385858585858585,107.0,896.9944269358862,152.8899405580766,15.756059915772436,3.490250688466483,5.170101010101009,6278.960988551204,0.42495021017143353,4900,749.0,60214,1070.2295839065362
27,27,10,405,5531,327.0,1,198,0.6446464646464646,107.0,666.5270798239444,145.27868685140018,17.631227701177334,3.366298382949214,6.446464646464646,6665.270798239444,0.6294250474592324,4050,1070.0,55310,1452.7868685140018
28,28,10,518,6590,255.0,1,200,0.6321212121212121,107.0,668.2232792449612,145.95190431207106,17.532560902785406,3.341116396224806,6.32121212121212,6682.232792449612,0.6341690226188641,5180,1070.0,65900,1459.5190431207106
29,29,1,326,4712,256.0,1,215,0.6509090909090909,107.0,718.9003710819508,147.7280407958055,16.948484913101627,3.3437226561951197,0.6509090909090909,718.9003710819508,0.06336747204568703,326,107.0,4712,147.7280407958055
30,30,9,261,4064,697.0,1,789,0.8137373737373736,106.0,3090.4698118008187,221.45055586487328,12.032523481256655,3.9169452621049667,7.323636363636362,27814.22830620737,0.48684603432011636,2349,954.0,36576,1993.0550027838594
31,31,0,718,8754,340.0,0,670,0.8137373737373736,107.0,2592.350751914934,205.26919822660938,12.330292759528076,3.8691802267387074,0.0,0.0,0.0,0,0.0,0,0.0
32,32,1,785,9405,150.0,1,700,0.7949494949494949,107.0,2693.6682857122178,210.36595562154125,12.28962595087142,3.848097551017454,0.7949494949494949,2693.6682857122178,0.05506181928494817,785,107.0,9405,210.36595562154125
33,33,0,975,11486,150.0,0,405,0.801212121212121,107.0,1489.733204630503,171.42045929925902,13.657506516666949,3.678353591680254,0.0,0.0,0.0,0,0.0,0,0.0
34,34,0,670,8239,183.0,0,518,0.82,107.0,1930.3866753415834,183.63492114851897,12.723290092103293,3.72661520336213,0.0,0.0,0.0,0,0.0,0,0.0
35,35,7,457,6046,384.0,1,326,0.8137373737373736,107.0,1213.5880635199746,160.0833817842126,14.45476256281645,3.7226627715336646,5.696161616161616,8495.116444639822,0.398419855528246,3199,749.0,42322,1120.5836724894882
36,36,0,802,9618,164.0,0,768,0.801212121212121,106.0,2980.8374279120612,218.4569580448393,12.082871058408383,3.8812987342604965,0.0,0.0,0.0,0,0.0,0,0.0
37,37,0,740,9016,175.0,0,673,0.7949494949494949,107.0,2563.319536616285,206.69228922728215,12.312573754016967,3.8087957453436627,0.0,0.0,0.0,0,0.0,0,0.0
38,38,0,462,6082,171.0,0,575,0.7949494949494949,107.0,2153.618957545512,193.7782760920924,12.616359486657386,3.7454242739921946,0.0,0.0,0.0,0,0.0,0,0.0
39,39,0,1018,11912,55.0,0,789,0.801212121212121,106.0,3048.2764951133395,221.22261796601595,12.049907846320545,3.86346830812844,0.0,0.0,0.0,0,0.0,0,0.0
40,40,0,421,5660,144.0,0,261,0.7385858585858585,107.0,894.6639356031969,153.24179976580433,15.573681179613125,3.4278311708934748,0.0,0.0,0.0,0,0.0,0,0.0
41,41,1,375,5203,99.0,1,718,0.7949494949494949,107.0,2745.8426835894684,212.53114216195453,12.192325527164954,3.8242934311831034,0.7949494949494949,2745.8426835894684,0.05540454877685087,375,107.0,5203,212.53114216195453
42,42,0,919,10924,63.0,0,785,0.8137373737373736,106.0,3073.000716182535,218.88615807967344,11.981740156798098,3.914650593863102,0.0,0.0,0.0,0,0.0,0,0.0
43,43,0,668,8251,78.0,0,975,0.8074747474747475,106.0,3872.9698143417268,244.72670480592865,11.78087947509643,3.972276732658181,0.0,0.0,0.0,0,0.0,0,0.0
44,44,0,326,4713,260.0,0,670,0.7949494949494949,107.0,2558.7797404303374,206.0692152652109,12.297692881883293,3.819074239448265,0.0,0.0,0.0,0,0.0,0,0.0
45,45,1,354,4987,451.0,1,591,0.7949494949494949,107.0,2244.6737514463184,195.94866091000074,12.612026504710377,3.798094334088525,0.7949494949494949,2244.6737514463184,0.055786727055009505,354,107.0,4987,195.94866091000074
46,46,10,242,3907,294.0,1,620,0.8074747474747475,107.0,2403.6051500796093,197.42384293309536,12.461551662018971,3.876782500128402,8.074747474747475,24036.051500796093,0.5465440785959927,2420,1070.0,39070,1974.2384293309535
47,47,10,187,3375,342.0,1,464,0.82,107.0,1769.1723190862217,176.58955833141567,13.149112571171392,3.8128713773409952,8.2,17691.723190862216,0.555705217868474,1870,1070.0,33750,1765.8955833141567
48,48,1,198,3490,252.0,1,670,0.7949494949494949,107.0,2572.379634555273,206.49197209330183,12.371135760503199,3.839372588888467,0.7949494949494949,2572.379634555273,0.05518694709604019,198,107.0,3490,206.49197209330183
49,49,10,200,3506,469.0,1,261,0.7573737373737373,107.0,928.1343819608754,153.11427883408496,15.663185490567171,3.5560704289688716,7.573737373737373,9281.343819608754,0.5958353642799277,2000,1070.0,35060,1531.1427883408496
50,50,10,215,3643,334.0,1,457,0.82,107.0,1715.6880589309753,177.44666780453963,13.231298958268914,3.7542408291706244,8.2,17156.880589309752,0.564383750500586,2150,1070.0,36430,1774.4666780453963
51,51,0,768,9279,313.0,0,802,0.8137373737373736,106.0,3148.828966157993,222.32473623264727,11.993755025181098,3.926220656057348,0.0,0.0,0.0,0,0.0,0,0.0
52,52,0,673,8286,398.0,0,740,0.7949494949494949,107.0,2859.078798584393,215.84277408094366,12.184072460387616,3.863619998087018,0.0,0.0,0.0,0,0.0,0,0.0
53,53,7,575,7254,300.0,1,462,0.82,107.0,1759.680445875933,176.28944330617014,13.16549454846915,3.808832133930591,5.739999999999999,12317.763121131531,0.3894061779205339,4025,749.0,50778,1234.026103143191
54,54,1,789,9507,307.0,1,517,0.8074747474747475,107.0,1977.3725665888535,184.7286120526581,12.867752920870695,3.8247051578120956,0.8074747474747475,1977.3725665888535,0.05539858451891268,789,107.0,9507,184.7286120526581
55,55,0,591,7453,298.0,0,780,0.8137373737373736,106.0,3043.5075205676735,219.96512480437093,12.054143465322868,3.9019327186765045,0.0,0.0,0.0,0,0.0,0,0.0
56,56,0,620,7726,215.0,0,594,0.8074747474747475,107.0,2263.9527192163337,196.21938114321205,12.578257824693466,3.811368214168912,0.0,0.0,0.0,0,0.0,0,0.0
57,57,10,464,6101,374.0,1,700,0.8137373737373736,107.0,2715.154975514157,209.84269050696108,12.231219482722194,3.878792822163081,8.137373737373736,27151.54975514157,0.5462608127309414,4640,1070.0,61010,2098.4269050696107
58,58,0,670,8288,374.0,0,718,0.8137373737373736,107.0,2826.34218098328,210.1240494414608,12.172445274060143,3.9364097228179387,0.0,0.0,0.0,0,0.0,0,0.0
59,59,10,261,4088,697.0,1,457,0.8074747474747475,107.0,1727.3355504818219,177.4796718667014,13.213144110791372,3.779727681579479,8.074747474747475,17273.355504818217,0.5605780886744531,2610,1070.0,40880,1774.7967186670141
60,60,1,517,6652,192.0,1,1018,0.82,105.0,4073.1951758944947,249.0865246262192,11.701447199045425,4.001174043118364,0.82,4073.1951758944947,0.0529552700436497,517,105.0,6652,249.0865246262192
61,61,0,780,9402,254.0,0,421,0.82,107.0,1594.7050591185796,171.8882047875387,13.44455689982838,3.7878980026569584,0.0,0.0,0.0,0,0.0,0,0.0
62,62,8,594,7471,354.0,1,375,0.801212121212121,107.0,1407.218530145922,166.24296968808247,13.874917298172555,3.7525827470557918,6.409696969696968,11257.748241167375,0.4517064991810547,4752,856.0,59768,1329.9437575046597
63,63,0,700,8561,291.0,0,587,0.7949494949494949,107.0,2228.2165086575005,195.33753761270174,12.620528634031883,3.7959395377470195,0.0,0.0,0.0,0,0.0,0,0.0
64,64,0,718,8739,340.0,0,243,0.7072727272727273,107.0,837.9260866177151,151.0663289811965,16.12808446575465,3.448255500484424,0.0,0.0,0.0,0,0.0,0,0.0
65,65,8,457,6038,384.0,1,424,0.82,107.0,1601.1857411070794,171.37030047326377,13.438249981090097,3.776381464875187,6.56,12809.485928856635,0.4488598493891349,3656,856.0,48304,1370.9624037861101
66,66,0,587,7408,221.0,0,405,0.82,107.0,1494.250454038319,169.35713914935226,13.493009293873085,3.6895072939217752,0.0,0.0,0.0,0,0.0,0,0.0
67,67,7,243,3919,505.0,1,785,0.801212121212121,106.0,3055.891672920342,221.92434082087124,12.074048627060693,3.8928556342934293,5.6084848484848475,21391.241710442395,0.381001224537839,1701,742.0,27433,1553.4703857460986
