,pax_number
0,0.0
1,189.0
2,630.0
3,627.0
4,302.0
5,245.0
6,63.0
7,603.0
8,0.0
9,0.0
10,0.0
11,0.0
12,630.0
13,126.0
14,630.0
15,630.0
16,378.0
17,252.0
18,0.0
19,621.0
20,630.0
21,0.0
22,0.0
23,0.0
24,189.0
25,567.0
26,630.0
27,630.0
28,626.0
29,0.0
30,315.0
31,106.0
32,0.0
33,0.0
34,630.0
35,0.0
36,0.0
37,0.0
38,0.0
39,630.0
40,0.0
41,315.0
42,630.0
43,126.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,623.0
51,0.0
52,239.0
53,0.0
54,630.0
55,0.0
56,121.0
57,0.0
58,0.0
59,0.0
60,630.0
61,0.0
62,630.0
63,0.0
64,630.0
65,226.0
66,0.0
67,0.0
68,239.0
69,630.0
70,629.0
71,567.0
72,0.0
73,0.0
74,0.0
75,630.0
76,0.0
77,0.0
78,630.0
79,630.0
80,0.0
81,630.0
82,0.0
83,0.0
84,612.0
85,502.0
86,0.0
87,165.0
88,0.0
89,630.0
90,0.0
91,415.0
92,630.0
93,0.0
94,0.0
95,0.0
96,0.0
97,539.0
98,630.0
99,0.0
