,pax_number
0,0.0
1,95.0
2,990.0
3,396.0
4,0.0
5,0.0
6,0.0
7,990.0
8,0.0
9,0.0
10,396.0
11,0.0
12,986.0
13,590.0
14,891.0
15,99.0
16,0.0
17,0.0
18,0.0
19,890.0
20,886.0
21,0.0
22,0.0
23,0.0
24,0.0
25,594.0
26,470.0
27,380.0
28,792.0
29,0.0
30,0.0
31,788.0
32,0.0
33,0.0
34,792.0
35,0.0
36,0.0
37,0.0
38,0.0
39,594.0
40,0.0
41,0.0
42,990.0
43,74.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,990.0
51,0.0
52,0.0
53,99.0
54,0.0
55,0.0
56,0.0
57,67.0
58,0.0
59,0.0
60,495.0
61,0.0
62,990.0
63,0.0
64,891.0
65,0.0
66,0.0
67,0.0
68,95.0
69,990.0
70,594.0
71,953.0
72,0.0
73,0.0
74,0.0
75,396.0
76,0.0
77,0.0
78,990.0
79,72.0
80,99.0
81,771.0
82,0.0
83,0.0
84,67.0
85,0.0
86,0.0
87,980.0000000000001
88,0.0
89,396.0
90,0.0
91,594.0
92,175.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,990.0
99,0.0
