,pax_number
0,0.0
1,68.0
2,870.0
3,609.0
4,0.0
5,0.0
6,0.0
7,870.0
8,0.0
9,0.0
10,0.0
11,0.0
12,696.0
13,668.0
14,696.0
15,0.0
16,667.0
17,62.0
18,0.0
19,328.0
20,783.0
21,0.0
22,0.0
23,0.0
24,348.0
25,0.0
26,609.0
27,494.0
28,609.0
29,0.0
30,0.0
31,609.0
32,87.0
33,0.0
34,870.0
35,0.0
36,0.0
37,0.0
38,0.0
39,850.0
40,0.0
41,0.0
42,870.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,870.0
51,0.0
52,87.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,56.0
60,754.0
61,0.0
62,676.0
63,0.0
64,783.0
65,0.0
66,0.0
67,0.0
68,242.0
69,870.0
70,674.0
71,839.0
72,0.0
73,0.0
74,0.0
75,783.0
76,0.0
77,0.0
78,870.0
79,412.0
80,0.0
81,522.0
82,0.0
83,0.0
84,0.0
85,756.0
86,0.0
87,87.0
88,0.0
89,870.0
90,0.0
91,855.0
92,783.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,870.0
99,0.0
