,pax_number
0,0.0
1,0.0
2,1071.0
3,824.0
4,0.0
5,0.0
6,0.0
7,238.0
8,0.0
9,0.0
10,0.0
11,0.0
12,1039.0
13,0.0
14,1189.0
15,0.0
16,1190.0
17,0.0
18,73.0
19,119.0
20,1149.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,1190.0
27,952.0
28,476.0
29,0.0
30,0.0
31,357.0
32,238.0
33,0.0
34,202.0
35,0.0
36,0.0
37,0.0
38,0.0
39,327.0
40,0.0
41,0.0
42,356.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,797.0
51,0.0
52,0.0
53,0.0
54,1190.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,238.0
61,0.0
62,89.0
63,0.0
64,119.0
65,238.0
66,0.0
67,0.0
68,218.0
69,1190.0
70,1190.0
71,308.0
72,0.0
73,0.0
74,0.0
75,1071.0
76,0.0
77,0.0
78,1190.0
79,0.0
80,0.0
81,238.0
82,0.0
83,0.0
84,0.0
85,1154.0
86,0.0
87,0.0
88,0.0
89,1190.0
90,0.0
91,467.0
92,1190.0
93,0.0
94,0.0
95,0.0
96,62.00000000000001
97,0.0
98,1162.0
99,0.0
