,0,1,2,3,4,5,6,7,8,9
0,0.0,440.0,220.0,220.0,220.0,220.0,110.0,220.0,220.0,110.0
1,440.0,0.0,330.0,440.0,330.0,110.0,220.0,440.0,220.0,220.0
2,220.0,330.0,0.0,330.0,220.0,330.0,330.0,110.0,220.0,110.0
3,220.0,440.0,330.0,0.0,220.0,330.0,220.0,220.0,220.0,220.0
4,220.0,330.0,220.0,220.0,0.0,660.0,330.0,110.0,110.0,110.0
5,220.0,110.0,330.0,330.0,660.0,0.0,330.0,110.0,110.0,110.0
6,110.0,220.0,330.0,220.0,330.0,330.0,0.0,0.0,110.0,0.0
7,220.0,440.0,110.0,220.0,110.0,110.0,0.0,0.0,0.0,0.0
8,220.0,220.0,220.0,220.0,110.0,110.0,110.0,0.0,0.0,220.0
9,110.0,220.0,110.0,220.0,110.0,110.0,0.0,0.0,220.0,0.0
