FRA,LHR,CDG,AMS,MAD,BCN,FCO,DUB,VIE,ZRH
FRA,0,1,1,1,1,1,1,1,1,1
LHR,1,0,1,1,1,1,1,1,1,1
CDG,1,1,0,1,1,1,1,1,1,1
AMS,1,1,1,0,1,1,1,1,1,1
MAD,1,1,1,1,0,1,1,1,1,1
BCN,1,1,1,1,1,0,1,1,1,1
FCO,1,1,1,1,1,1,0,1,1,1
DUB,1,1,1,1,1,1,1,0,1,1
VIE,1,1,1,1,1,1,1,1,0,1
ZRH,1,1,1,1,1,1,1,1,1,0
