FRA,LHR,CDG,AMS,MAD,BCN,FCO,DUB,VIE,ZRH
FRA,0,0,1,0,1,0,0,0,0,0
LHR,0,0,1,0,1,0,0,0,0,0
CDG,1,1,0,1,1,1,1,1,1,1
AMS,0,0,1,0,1,0,0,0,0,0
MAD,1,1,1,1,0,1,1,1,1,1
BCN,0,0,1,0,1,0,0,0,0,0
FCO,0,0,1,0,1,0,0,0,0,0
DUB,0,0,0,0,1,0,0,0,0,0
VIE,0,0,1,0,1,0,0,0,0,0
ZRH,0,0,1,0,1,0,0,0,0,0
