gen	nevals	avg	std	min	max
0  	10    	0  	0  	0  	0  
1  	3     	0  	0  	0  	0  
2  	3     	0  	0  	0  	0  
3  	4     	0  	0  	0  	0  
4  	3     	0  	0  	0  	0  
5  	5     	0  	0  	0  	0  
6  	5     	0  	0  	0  	0  
7  	3     	0  	0  	0  	0  
8  	5     	0  	0  	0  	0  
9  	2     	0  	0  	0  	0  
10 	6     	0  	0  	0  	0  
